BmpSubmittedId,AgencyId,StateUniqueIdentifier,StateId,BmpId,GeographyId,LoadSourceId,UnitId,Amount,isValid,ErrorMessage,RowIndex,Cost,LrsegId,LoadSourceIdOriginal,TotalAmount,Capital
1,9,SU0,8,70,11905,19,1,427.771741672281,True,,1,12970.039076958,1971,9,427.771850585938,156688.514912416
2,9,SU1,8,142,11905,19,1,427.77184451975,True,,2,3926.94566323691,1971,9,427.771850585938,3738.72582319341
3,9,SU2,8,70,11904,19,1,40.7489334037939,True,,3,1235.50764836744,1970,9,40.748950958252,14925.9271646721
4,9,SU3,8,142,11904,19,1,40.7489428545582,True,,4,374.075307840435,1970,9,40.748950958252,356.145751222146
5,9,SU4,8,70,11911,19,1,2.72252957912656,True,,5,82.5470960082672,1977,9,2.7225387096405,997.23538280207
6,9,SU5,8,142,11911,19,1,2.72253165878687,True,,6,24.9928414585142,1977,9,2.7225387096405,23.7949260746592
7,9,SU6,8,70,11906,19,1,427.520688049632,True,,7,12962.4271311959,1972,9,427.520690917969,156596.556478831
8,9,SU7,8,142,11906,19,1,427.520688740106,True,,8,3924.64005310314,1972,9,427.520690917969,3736.53072173681
9,9,SU8,8,70,11907,19,1,16.6694330758157,True,,9,505.417205771624,1973,9,16.6694564819336,6105.84678377953
10,9,SU9,8,142,11907,19,1,16.6694476882959,True,,10,153.025534865668,1973,9,16.6694564819336,145.690968980372
11,9,SU10,8,142,11908,19,1,945.608766480986,True,,11,8680.68876487235,1974,9,945.608764648438,8264.62040261115
12,9,SU11,8,70,11910,19,1,85.3190457100915,True,,12,2586.87343989267,1976,9,85.3190612792969,31251.513982194
13,9,SU12,8,142,11910,19,1,85.3190537860851,True,,13,783.22893979357,1976,9,85.3190612792969,745.688510562402
14,9,SU13,8,142,11909,19,1,164.745448158064,True,,14,1512.36326436735,1975,9,164.745452880859,1439.87517919424
15,9,SU14,8,70,11909,15,1,500.701080583591,True,,15,15181.2566104926,1975,4,500.701080322266,183401.803085415
16,9,SU15,8,48,11905,15,1,1300.10157417451,True,,16,98963.7353969995,1971,4,1300.1015625,94257.3641276522
17,9,SU16,8,48,11907,15,1,50.6624863311366,True,,17,3856.42859867479,1973,4,50.6624870300293,3673.0302590074
18,9,SU17,8,48,11910,15,1,259.305177437224,True,,18,19738.3108187244,1976,4,259.30517578125,18799.6253641987
19,9,SU18,8,48,11904,15,1,123.845863607083,True,,19,9427.14747792395,1970,4,123.845863342285,8978.82511151349
20,9,SU19,8,48,11906,15,1,1299.33839125569,True,,20,98905.6419111222,1972,4,1299.33837890625,94202.0333660372
21,9,SU20,8,70,11908,15,1,2873.93263916737,True,,21,87137.6367425001,1974,4,2873.9326171875,1052692.81095815
22,9,SU21,8,48,11911,15,1,8.27442821796985,True,,22,629.849498678261,1977,4,8.27445030212402,599.896045802814
23,9,SU22,8,48,11905,17,1,38.064780465794,True,,23,2897.49119360428,1971,7,38.0647811889648,2759.69658377007
24,9,SU23,8,48,11908,17,1,84.1439055267113,True,,24,6405.03431980141,1974,7,84.1439056396484,6100.43315068657
25,9,SU24,8,48,11906,17,1,38.0424337616367,True,,25,2895.79016242245,1972,7,38.0424346923828,2758.07644771866
26,9,SU25,8,70,11906,17,1,38.0424182991255,True,,26,1153.44611121986,1972,7,38.0424346923828,13934.5577238562
27,9,SU26,8,48,11909,17,1,14.6596687574234,True,,27,1115.89402607905,1975,7,14.6596841812134,1062.82598491319
28,9,SU27,8,48,11910,17,1,7.59199950074024,True,,28,577.903022848396,1976,7,7.59201860427856,550.419963803667
29,9,SU28,8,48,11904,17,1,3.62597501904983,True,,29,276.009228409111,1970,7,3.6259982585907,262.883188881112
30,9,SU29,8,48,11907,17,1,1.48328632642819,True,,30,112.907759241681,1973,7,1.48331224918365,107.538258666044
31,9,SU30,8,48,11911,17,1,0.242230756591542,True,,31,18.4386058570548,1977,7,0.242261961102486,17.5617298528868
32,9,SU31,8,70,11911,17,1,0.242231187709036,True,,32,7.34444953741489,1977,7,0.242261961102486,88.7268638157895
33,9,SU32,8,70,11908,16,1,476.815460952317,True,,33,14457.0446305617,1974,6,476.815460205078,174652.739266575
34,9,SU33,8,137,11908,16,1,476.815462697688,True,,34,4377.16609307731,1974,6,476.815460205078,4167.3670348434
35,9,SU34,8,142,11908,16,1,476.815460053956,True,,35,4377.16606880785,1974,6,476.815460205078,4167.36701173718
36,9,SU35,8,48,11906,16,1,215.573807978725,True,,36,16409.4788554317,1972,6,215.573806762695,15629.1010784576
37,9,SU36,8,70,11906,16,1,215.573718195567,True,,37,6536.19506990171,1972,6,215.573806762695,78962.4990799148
38,9,SU37,8,137,11906,16,1,215.573805237677,True,,38,1978.96759786978,1972,6,215.573806762695,1884.11500843637
39,9,SU38,8,142,11906,16,1,215.573798677539,True,,39,1978.96753764771,1972,6,215.573806762695,1884.11495110077
40,9,SU39,8,48,11904,16,1,20.5473144173449,True,,40,1564.06162988318,1970,6,20.5473232269287,1489.68029525751
41,9,SU40,8,137,11904,16,1,20.547320375852,True,,41,188.624407320866,1970,6,20.5473232269287,179.583575382038
42,9,SU41,8,142,11904,16,1,20.5473158898683,True,,42,188.624366139535,1970,6,20.5473232269287,179.583536174542
43,9,SU42,8,48,11905,16,1,215.700440814345,True,,43,16419.1181472269,1971,6,215.700439453125,15638.28195904
44,9,SU43,8,137,11905,16,1,215.700438190676,True,,44,1980.13008841696,1971,6,215.700439453125,1885.2217804166
45,9,SU44,8,142,11905,16,1,215.700432578299,True,,45,1980.13003689533,1971,6,215.700439453125,1885.22173136442
