"ScenarioId","LrsegId","AgencyId","LoadSourceId","SectorId","Amount","UnitId","NLoadEos","PLoadEos","SLoadEos","NLoadEor","PLoadEor","SLoadEor","NLoadEot","PLoadEot","SLoadEot"
1522,1977,6,64,5,,,0,0,0,0,0,0,0,0,0
1522,1970,9,50,3,2.5592392430160986,5,747.3333154534467,93.75780428416253,1220005.3614741787,721.0808145143308,87.99644825411839,819559.8462753823,762.8782929200847,74.90854420103351,895864.1501860043
1522,1971,9,50,3,32.41025982481061,5,11176.043621102253,2494.826454302106,12509864.85763617,9597.897597488654,1847.7378912512906,6254922.735419421,9984.961859597459,1572.9197967060431,6837281.092176362
1522,1977,9,50,3,3.1833229758522728,5,1202.8365064874172,316.5286822275507,1736350.6118393247,1102.0164170642147,248.3793136912798,838917.4968995982,1166.2231381028005,211.43731556682252,917024.0756080139
1522,1973,9,50,3,0,5,0,0,0,0,0,0,0,0,0
1522,1974,10,50,3,0.3568920944676255,5,132.49007253313337,42.54858716763127,108796.03702877178,112.14141668941345,32.643465989855535,54162.35948826117,113.95720595338783,27.788331955336435,59205.09206928121
1522,1977,6,50,3,0,5,0,0,0,0,0,0,0,0,0
1522,1974,9,50,3,63.645058001893936,5,21741.82839004669,3883.5278004842285,23817807.04897968,18402.58209888296,2979.459862587558,11857312.663582796,18700.555960735495,2536.3182860212737,12961275.959438652
1522,1972,9,50,3,33.44040009469697,5,11386.792827695064,2475.3112349686194,11281382.52750465,10157.160595713738,1924.3896180381284,5179170.514143722,8968.1209398645,1638.1709446559678,5661372.030862936
1522,1971,10,50,3,0.8829945882161458,5,337.44850655842373,105.83956066108149,279327.98302620265,289.7981003096513,78.38772363890781,139663.77507291368,301.48508558090896,66.72894619640184,152667.0318660576
1522,1976,6,50,3,1.0540589303681345,5,466.7213700282013,150.51998789612958,372118.92464261525,388.9121272851205,108.25119633891258,161367.04901544936,410.5278710787615,92.15075933918362,176390.9675312154
1522,1976,9,50,3,9.875785688920455,5,4052.614069183057,884.5355893416404,3503131.733666798,3376.9843421062033,636.1416652295638,1519111.2107966384,3564.6771992142303,541.5269251590233,1660546.548349414
1522,1975,9,50,3,12.88801639441288,5,4506.119763719609,1229.7467991091596,6360395.590028355,3950.335978446447,1000.1212767673582,3724470.352128021,4137.3765750821785,851.3710536449456,4071233.4578931923
1522,1975,10,50,3,1.0058437463008996,5,346.68111260807456,117.07922667796761,389565.4668650585,303.92154314448396,95.21750798857741,228118.67768516473,318.3116271956518,81.05559994054411,249357.44016100382
1522,1971,9,60,4,1966.1353759765625,11,16807.410788504003,0,0,14434.07104481912,0,0,15016.168634571572,0,0
1522,1975,9,60,4,949.286865234375,11,8181.013009208595,0,0,7171.968728087739,0,0,7511.547264514378,0,0
1522,1976,9,60,4,599.6139526367188,11,5174.054652304972,0,0,4311.464464110165,0,0,4551.0957450428605,0,0
1522,1977,6,60,4,0,11,0,0,0,0,0,0,0,0,0
1522,1977,9,60,4,384.5504455566406,11,4000.576445647123,0,0,3665.2536708401376,0,0,3878.802141021932,0,0
1522,1976,6,60,4,0,11,0,0,0,0,0,0,0,0,0
1522,1973,9,60,4,42.036643981933594,11,552.8949749993577,0,0,524.8101371383516,0,0,522.4180384732866,0,0
1522,1974,9,60,4,3882.726318359375,11,35913.06263774073,0,0,30397.309359497285,0,0,30889.501357941102,0,0
1522,1974,10,60,4,0,11,0,0,0,0,0,0,0,0,0
1522,1975,10,60,4,0,11,0,0,0,0,0,0,0,0,0
1522,1970,9,60,4,342.802490234375,11,3152.4635252012463,0,0,3041.7230430836257,0,0,3218.03664157425,0,0
1522,1972,9,60,4,1994.5751953125,11,21453.735379294947,0,0,19136.99835615205,0,0,16896.7413743939,0,0
1522,1971,10,60,4,0,11,0,0,0,0,0,0,0,0,0
1522,1977,9,28,2,0,1,0,0,0,0,0,0,0,0,0
