"ScenarioId","LrsegId","AgencyId","LoadSourceId","SectorId","Amount","UnitId","NLoadEos","PLoadEos","SLoadEos","NLoadEor","PLoadEor","SLoadEor","NLoadEot","PLoadEot","SLoadEot"
1487,1976,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1975,10,61,4,,,0,0,0,0,0,0,0,0,0
1487,1974,10,61,4,,,0,0,0,0,0,0,0,0,0
1487,1971,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1976,6,61,4,,,0,0,0,0,0,0,0,0,0
1487,1974,9,61,4,,,111.13341113631243,57.5522817340958,0,94.06484522254623,44.1543674299663,0,95.58793937557948,37.58719186875256,0
1487,1973,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1972,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1971,10,61,4,,,0,0,0,0,0,0,0,0,0
1487,1975,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1977,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1970,9,61,4,,,0,0,0,0,0,0,0,0,0
1487,1977,6,61,4,,,0,0,0,0,0,0,0,0,0
1487,1976,9,5,1,76.06427764892578,1,354.1178496693379,2.8830598242776952,2264.308456238871,298.5682453203438,2.097945224014743,993.5064288007527,315.16267435194374,1.7859132460735472,1086.0058561761841
1487,1971,10,5,1,0,1,0,0,0,0,0,0,0,0,0
1487,1972,9,5,1,280.84033203125,1,1510.6736127743814,10.635920472589916,7116.458674144604,1342.7497749948075,8.239328564028707,3255.4825738045515,1185.561876338837,7.013875220770588,3558.5810391774494
1487,1970,9,5,1,15.694818496704102,1,75.51048101956538,0.6056948485072543,615.3738853208303,71.73090086979843,0.5596816224458769,406.9934817607726,75.88878542279411,0.4764389516315615,444.8862048645851
1487,1973,9,5,1,6.536242961883545,1,29.29056511224664,0.24760129414596133,131.9294341941751,27.92631310808384,0.23606889248428437,125.78462291048243,27.79902422477398,0.200957850208692,137.49567505324373
1487,1976,6,5,1,0,1,0,0,0,0,0,0,0,0,0
1487,1977,9,5,1,21.204492568969727,1,103.74185313562086,0.801255218312279,698.524323004236,95.98361201076341,0.6349431965799367,340.8199394506002,101.5758998435243,0.5405067073707452,372.551640749568
1487,1974,9,5,1,337.290771484375,1,1349.3623153650458,12.695748550888343,11150.092845408139,1136.1951707085168,9.689716712321093,5522.104599932924,1154.592396761635,8.248543970141737,6036.234653442089
1487,1975,9,5,1,43.77030563354492,1,190.5881833416302,1.6358064968916222,1806.745179485186,167.08566963575677,1.3303956934760897,1058.0086878335112,174.99684567457138,1.1325230345868433,1156.5135338474047
1487,1977,6,5,1,0,1,0,0,0,0,0,0,0,0,0
1487,1975,10,5,1,0,1,0,0,0,0,0,0,0,0,0
1487,1974,10,5,1,0,1,0,0,0,0,0,0,0,0,0
1487,1971,9,5,1,202.70669555664062,1,903.0995770719634,7.64328227550649,7248.998059381479,765.3593670222048,5.58626673788329,3576.7539935919153,796.2247993354258,4.755409077932972,3909.764114794051
1487,1973,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1971,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1976,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1970,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1975,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1975,10,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1972,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1977,6,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1974,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1976,6,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1971,10,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1974,10,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1977,9,40,3,0,1,0,0,0,0,0,0,0,0,0
1487,1971,9,9,1,427.7718505859375,1,7107.1054584862195,199.06913866078625,508706.9320986784,6007.285623123439,145.11138214231707,250342.44373158744,6249.547592828087,123.52864915513315,273650.3278294185
1487,1970,9,9,1,40.74895095825195,1,739.4210042807235,19.41656071083393,50582.81324664823,690.8793476918852,17.64699840236511,32905.0636786275,730.9261968589685,15.0223217648704,35968.65688727855
1487,1971,10,9,1,0,1,0,0,0,0,0,0,0,0,0
1487,1977,9,9,1,2.722538709640503,1,50.84585668489423,1.2792323406988124,5150.588113671798,47.57948053144291,1.0252610595269755,2541.682581067974,50.351601151734144,0.8727717415751548,2778.3234084481114
1487,1977,6,9,1,0,1,0,0,0,0,0,0,0,0,0
1487,1972,9,9,1,427.52069091796875,1,8381.563070501797,199.09547299573805,339323.10563553363,7418.887725057012,153.5916059310763,154580.3144345829,6550.40173192341,130.7475907274164,168972.36078094892
1487,1975,10,9,1,0,1,0,0,0,0,0,0,0,0,0
1487,1973,9,9,1,16.669456481933594,1,282.3431777490735,7.75628063709136,12714.241857893914,269.2666681930604,7.3970543980207495,12125.391415401658,268.03934350561576,6.296874332148441,13254.313916669698
1487,1974,9,9,1,945.6087646484375,1,13814.96687484234,439.21109907346545,1055132.725489513,11727.332150540326,337.94894211383615,526815.163449259,11917.220636370585,287.68505741187124,575863.7649873206
1487,1976,9,9,1,85.31906127929688,1,1478.802901651195,39.860543963080254,88452.5094924655,1213.8472657555421,28.238504635500277,37783.58965783835,1281.3129210035402,24.038530129657385,41301.39317296712
1487,1974,10,9,1,0,1,0,0,0,0,0,0,0,0,0
