BmpSubmittedId,AgencyId,StateUniqueIdentifier,StateId,BmpId,GeographyId,LoadSourceId,UnitId,Amount,isValid,ErrorMessage,RowIndex,Cost,LrsegId,LoadSourceIdOriginal,TotalAmount,Capital
1,9,SU0,8,70,11905,19,1,427.7718100041,True,,1,12970.0411487787,1971,9,427.771850585938,156688.539941678
2,9,SU1,8,142,11905,19,1,427.771845122407,True,,2,3926.9456687693,1971,9,427.771850585938,3738.72582846063
3,9,SU2,8,70,11904,19,1,40.7489325134487,True,,3,1235.50762137218,1970,9,40.748950958252,14925.9268385476
4,9,SU3,8,142,11904,19,1,40.7489427690558,True,,4,374.075307055522,1970,9,40.748950958252,356.145750474854
5,9,SU4,8,70,11911,19,1,2.72252804388446,True,,5,82.5470494597273,1977,9,2.7225387096405,997.234820458229
6,9,SU5,8,142,11911,19,1,2.72253129158881,True,,6,24.9928380876359,1977,9,2.7225387096405,23.7949228653482
7,9,SU6,8,70,11906,19,1,427.520688677247,True,,7,12962.4271502252,1972,9,427.520690917969,156596.55670872
8,9,SU7,8,142,11906,19,1,427.520688980363,True,,8,3924.64005530869,1972,9,427.520690917969,3736.53072383665
9,9,SU8,8,70,11907,19,1,16.6694326233551,True,,9,505.41719205302,1973,9,16.6694564819336,6105.84661804774
10,9,SU9,8,142,11907,19,1,16.6694476596972,True,,10,153.025534603132,1973,9,16.6694564819336,145.690968730419
11,9,SU10,8,142,11908,19,1,945.608766710499,True,,11,8680.68876697928,1974,9,945.608764648438,8264.62040461709
12,9,SU11,8,70,11910,19,1,85.3190380847655,True,,12,2586.87320869278,1976,9,85.3190612792969,31251.5111891133
13,9,SU12,8,142,11910,19,1,85.3190531421527,True,,13,783.22893388227,1976,9,85.3190612792969,745.688504934433
14,9,SU13,8,142,11909,19,1,164.745448393685,True,,14,1512.36326653035,1975,9,164.745452880859,1439.87518125357
15,9,SU14,8,70,11909,15,1,500.701080890916,True,,15,15181.2566198107,1975,4,500.701080322266,183401.803197985
