1976,9,5
1972,9,5
1970,9,5
1973,9,5
1977,9,5
1974,9,5
1975,9,5
1971,9,5
1971,9,9
1970,9,9
1977,9,9
1972,9,9
1973,9,9
1974,9,9
1976,9,9
1975,9,9
1975,9,4
1971,9,4
1973,9,4
1976,9,4
1970,9,4
1972,9,4
1974,9,4
1977,9,4
1972,9,27
1976,9,27
1971,9,7
1974,9,7
1972,9,7
1975,9,7
1976,9,7
1970,9,7
1973,9,7
1977,9,7
1973,9,43
1977,9,43
1972,9,43
1976,9,43
1970,9,43
1975,9,43
1974,9,43
1971,9,43
1974,9,21
1971,9,21
1977,9,21
1975,9,21
1976,9,21
1972,9,21
1973,9,21
1970,9,21
1976,9,22
1977,9,22
1970,9,22
1971,9,22
1973,9,22
1972,9,22
1975,9,22
1974,9,22
1974,9,6
1972,9,6
1970,9,6
1971,9,6
1975,9,6
1973,9,6
1976,9,6
1977,9,6
1972,9,3
1977,9,3
1973,9,3
1975,9,3
1974,9,3
1971,9,3
1976,9,3
1970,9,3
1976,9,29
1972,9,29
1972,9,26
1971,9,25
1973,9,25
1970,9,25
1975,9,25
1972,9,25
1976,9,25
1974,9,25
1977,9,25
1974,9,23
1972,9,23
1975,9,23
1971,9,23
1976,9,23
1970,9,23
1977,9,23
1973,9,23
1976,9,17
1977,9,17
1970,9,17
1975,9,17
1973,9,17
1972,9,17
1974,9,17
1971,9,17
1973,9,32
1970,9,32
1977,9,32
1976,9,32
1974,9,32
1971,9,32
1972,9,32
1975,9,32
1977,9,31
1971,9,31
1972,9,31
1976,9,31
1971,9,14
1976,9,14
1975,9,14
1972,9,14
1970,9,14
1977,9,14
1973,9,14
1974,9,14
1976,9,2
1972,9,2
1977,9,2
1974,9,2
1970,9,2
1971,9,2
1973,9,2
1975,9,2
1975,9,10
1977,9,10
1971,9,10
1973,9,10
1972,9,10
1976,9,10
1974,9,10
1970,9,10
1973,9,8
1976,9,8
1974,9,8
1971,9,8
1970,9,8
1975,9,8
1977,9,8
1972,9,8
1972,9,28
1976,9,28
1970,9,20
1972,9,20
1977,9,20
1976,9,20
1975,9,20
1974,9,20
1971,9,20
1973,9,20
1976,9,18
1977,9,18
1970,9,18
1974,9,18
1975,9,18
1973,9,18
1971,9,18
1972,9,18
1975,9,13
1972,9,13
1970,9,13
1977,9,13
1971,9,13
1973,9,13
1976,9,13
1974,9,13
1976,9,12
1970,9,12
1974,9,12
1975,9,12
1977,9,12
1972,9,12
1971,9,12
1973,9,12
1971,9,1
1970,9,1
1972,9,1
1977,9,1
1976,9,1
1975,9,1
1973,9,1
1974,9,1
1977,9,11
1972,9,11
1970,9,11
1973,9,11
1976,9,11
1971,9,11
1975,9,11
1974,9,11
