1971,9,9,70,1,0.9999999051320525
1971,9,9,142,1,0.9999999872279338
1970,9,9,70,1,0.9999995473551389
1970,9,9,142,1,0.9999997990329567
1977,9,9,70,1,0.999996082422629
1977,9,9,142,1,0.999997275318191
1972,9,9,70,1,0.9999999947587989
1972,9,9,142,1,0.9999999954678076
1973,9,9,70,1,0.9999985687248708
1973,9,9,142,1,0.9999994707544038
1974,9,9,142,1,1.0000000021806712
1976,9,9,70,1,0.9999997281436167
1976,9,9,142,1,0.9999999046268905
1975,9,9,142,1,0.9999999727629874
1975,9,4,70,1,1.0000000011357078
1971,9,4,48,1,1.0000000090792067
1973,9,4,48,1,0.9999999860624894
1976,9,4,48,1,1.0000000059360887
1970,9,4,48,1,1.0000000020093271
1972,9,4,48,1,1.0000000095291215
1974,9,4,70,1,1.0000000077944082
1977,9,4,48,1,0.9999972487696884
1971,9,7,48,1,0.9999999830013767
1974,9,7,48,1,0.9999999991886044
1972,9,7,48,1,0.9999999777704509
1972,9,7,70,1,0.9999996417339412
1975,9,7,48,1,0.9999989821972768
1976,9,7,48,1,0.9999973817784229
1970,9,7,48,1,0.9999935589724157
1973,9,7,48,1,0.9999824937809243
1974,9,6,48,1,1.000000007456214
1974,9,6,137,1,1.0000000014553028
1974,9,6,142,1,0.9999999841485525
1972,9,6,48,1,1.0000000059183676
1972,9,6,70,1,0.9999997998903265
1972,9,6,137,1,0.9999999934025132
1972,9,6,142,1,0.9999999647705866
1970,9,6,48,1,0.9999995656286569
1970,9,6,137,1,0.9999998602862016
1970,9,6,142,1,0.9999996392358651
1971,9,6,48,1,1.0000000065580967
1971,9,6,137,1,0.9999999946583756
1971,9,6,142,1,0.9999999703262472
1975,9,6,48,1,0.9999999995332842
1975,9,6,137,1,0.9999999675089597
1975,9,6,142,1,0.999999895314259
1973,9,6,48,1,0.9999974812011402
1973,9,6,137,1,0.9999996337143073
1973,9,6,142,1,0.9999990632228154
1976,9,6,48,1,0.9999999881847149
1976,9,6,137,1,0.9999999365474006
1976,9,6,142,1,0.9999998252807932
1977,9,6,48,1,0.9999810672877242
1977,9,6,137,1,0.999997960201843
1977,9,6,142,1,0.9999951646592391
1972,9,3,48,1,1.0000000085875758
1972,9,3,70,1,0.9999999120136462
1972,9,3,137,1,1.000000004352033
1972,9,3,142,1,0.9999999944309592
1977,9,3,48,1,0.9999942488895788
1977,9,3,137,1,0.9999993120576693
1977,9,3,142,1,0.9999983467487341
1973,9,3,48,1,0.9999997707782234
1973,9,3,137,1,0.9999998820895496
1973,9,3,142,1,0.9999996853396437
1975,9,3,48,1,1.00000000640749
1975,9,3,137,1,0.9999999954888802
1975,9,3,142,1,0.9999999702891526
1974,9,3,70,1,1.00000000719948
1974,9,3,137,1,1.000000008406978
1974,9,3,142,1,1.0000000065604415
1971,9,3,48,1,1.000000008811776
1971,9,3,137,1,1.0000000047786404
1971,9,3,142,1,0.999999996359405
1976,9,3,48,1,1.0000000045434225
1976,9,3,137,1,0.9999999850081304
1976,9,3,142,1,0.9999999465644959
1970,9,3,48,1,0.9999999986767499
1970,9,3,137,1,0.9999999590462668
1970,9,3,142,1,0.9999998826662299
1971,9,25,145,1,1.000000009165191
1973,9,25,145,1,0.9999999295203441
1970,9,25,145,1,1.0000000046113378
1975,9,25,145,1,1.000000008745958
1972,9,25,145,1,1.0000000092974626
1976,9,25,145,1,1.0000000070963666
1974,9,25,145,1,1.0000000094632948
1977,9,25,145,1,1.0000000034086391
1974,9,23,145,1,1.000000008054025
1972,9,23,145,1,1.000000005563757
1975,9,23,145,1,1.000000001564992
1971,9,23,145,1,1.0000000040522004
1976,9,23,145,1,0.9999999816674802
1970,9,23,145,1,0.9999999795305794
1977,9,23,145,1,0.9999999788548235
1973,9,23,145,1,0.999999375231135
1973,9,32,145,1,0.9999991872604928
1970,9,32,145,1,0.9999999201251251
1977,9,32,145,1,0.999999909779582
1976,9,32,145,1,0.9999999503430355
1974,9,32,145,1,1.00000000566688
1971,9,32,145,1,1.0000000003776557
1972,9,32,145,1,1.0000000025489597
1975,9,32,145,1,0.9999999966387227
1972,9,31,145,1,0.9999955781774357
1971,9,14,29,1,0.9999999974616066
1976,9,14,29,1,0.9999999786982154
1975,9,14,29,1,0.9999999475892475
1972,9,14,29,1,1.0000000039482766
1970,9,14,29,1,0.9999998593855012
1977,9,14,29,1,0.999999908297296
1973,9,14,29,1,0.9999996335767846
1974,9,14,29,1,1.0000000004422804
1976,9,2,70,1,0.9999998684893117
1972,9,2,70,1,1.000000005850758
1977,9,2,70,1,0.9999988046703614
1970,9,2,70,1,0.9999998236801109
1971,9,2,70,1,0.1991023806492349
1973,9,2,70,1,0.9999992928143662
1975,9,10,48,1,0.9999951961389207
1975,9,10,137,1,0.999999346535217
1971,9,10,48,1,0.9999988534630537
1971,9,10,137,1,0.9999997717608512
1972,9,10,48,1,0.9999992117022979
1972,9,10,137,1,0.9999998307301515
1976,9,10,48,1,0.999990599725876
1976,9,10,137,1,0.9999988707503317
1974,9,10,70,1,0.999999873999631
1974,9,10,137,1,0.9999999378023328
1970,9,10,48,1,0.9999795997093137
1970,9,10,137,1,0.9999976883012837
1973,9,8,142,1,0.9999996229484934
1976,9,8,142,1,0.9999999343719651
1974,9,8,142,1,1.0000000002019223
1971,9,8,142,1,0.9999999939363555
1970,9,8,70,1,0.9999973749827944
1970,9,8,142,1,0.9999997410482517
1975,9,8,142,1,0.9999999641602053
1977,9,8,70,1,0.9999918394285754
1977,9,8,142,1,0.9999965807841517
1972,9,8,70,1,0.9999999861031905
1972,9,8,142,1,0.9999999920910317
1976,9,18,67,1,0.9999999181987907
1974,9,18,67,1,0.9999999938650475
1975,9,18,67,1,0.9999999020673819
1971,9,18,67,1,0.9999999847007338
1972,9,18,67,1,0.9999999979818402
